Annotator,Sample ID,Channel Name,Link,Title,Topic,Scene Number,Intent,Time Start,Time End,Chart Type,Chart Details,Animation Type,Transcript,Global_Youtube_Link,Chart Data,Chart Meta Data
Mahir,58,The Wall Street Journal,https://www.youtube.com/watch?v=A4l_wHA8kvk,,,2,"to highlight the significance of soybeans in Brazil's export economy and the crucial role of the Port of Santos in facilitating this trade, particularly with China.",01:28,01:37,Pie Chart,,"Suspense- Gradual Reveal, Emphasis - Annotation","Brazil's soybean exports are worth over $50 billion,
and about 30% of that trade passes through Santos,
mainly on its way to China,",https://youtu.be/A4l_wHA8kvk,"Chart 1 - Pie Chart
| Category        | Value (Billion USD) | Percentage (%) |
| :-------------- | :------------------ | :------------- |
| Trade via Santos | 18.55               | 35             |
| Other Exports   | 34.45               | 65             |
-------------------","Chart 1 - Type: Pie Chart, 
Description: This chart illustrates the total value of Brazil's soybean exports in 2023, which amounted to $53 billion. It further breaks down this total into the proportion exported via the Port of Santos and the proportion exported through other channels. The ""Trade via Santos"" segment is estimated to represent 35% of the total export value, with the remaining 65% attributed to ""Other Exports."" The visual context is an aerial view of what appears to be a port or industrial facility.
Mark: Arc/Slice, 
Background: Aerial view of a port or industrial facility with grey concrete, dark asphalt roads, and some construction site elements, 
Gridlines: None, 
Data Colors: Orange, Light Gray/White, 
-------------------"
Mahir,59,The Wall Street Journal,https://www.youtube.com/watch?v=3yC8WDjCIAU,,,1,to emphasize BNPL's rapid expansion as an alternative to traditional credit cards.,00:11,00:16,Bar Chart,,"Suspense- Gradual Reveal, Emphasis - Draw an arrow","The buy now, pay later industry,
or BNPL,
has exploded as an alternative to credit cards.",https://youtu.be/3yC8WDjCIAU,"Chart 1 - Bar Chart
| Year | Users (Millions) |
|------|------------------|
| 2021 | 45               |
| 2022 | 64               |
| 2023 | 78               |
| 2024 | 82               |
-------------------","Chart 1 - Type: Bar Chart, 
Description: A bar chart illustrating the growth of U.S. Buy Now, Pay Later (BNPL) service users from 2021 with projections up to 2024, showing a consistent upward trend. The Y-axis represents the number of users in millions. An overlaid white arrow highlights the overall growth trend.,
Mark: Rectangular bars, with an additional white arrow annotation showing growth., 
Background: Light greenish-gray with a subtle textured/grainy pattern., 
Gridlines: Solid thin dark gray horizontal lines., 
Data Colors: Dark green with a diagonal wavy line pattern.
-------------------"
Mahir,60,The Wall Street Journal,https://www.youtube.com/watch?v=3yC8WDjCIAU,,,2," to visually represent their market share dominance and highlight that two of these companies (Afterpay and Klarna) initially found success internationally before establishing a strong presence in the US.",00:35,00:41,Pie Chart,,"Suspense- Gradual Reveal, Emphasis - Annotation, Draw a box","Three companies make up the bulk
of the BNPL market in the U.S.,
though two initially found success internationally.",https://youtu.be/3yC8WDjCIAU,"Chart 1 - Pie Chart
| Category        | Share (%) |
| :-------------- | :-------- |
| OTHER COMPANIES | 32.6      |
| Klarna          | 26.2      |
| Afterpay        | 21.9      |
| Affirm          | 19.3      |
-------------------","Chart 1 - Type: Pie Chart,
Description: Pie chart showing the U.S. Buy Now Pay Later (BNPL) market share for different companies and other companies in 2025.
Mark: Slices,
Background: Light grey with a subtle grain texture,
Gridlines: None,
Data Colors: Red, Dark Green, Light Greenish-Blue, Mint Green,
-------------------"
Ridwan,61,Vox,https://www.youtube.com/watch?v=XRUxTFWWWdY&t=67s,,,1,"to illustrate how global warming is affecting the antarctic ice sheet, melting each side of the ice sheet to melt at different speeds and distruting the balance",01:07,01:50,Area Chart,,"Emphasis- add a magnifier, Emphasis- draw an arrow, Emphasis- delineate","This is the Antarctic ice sheet.
It's thickest in the middle, where years and years of snowfall compacts into ice.
As the middle builds, it pushes ice out towards the oceans via glaciers.
And the part of a glacier that floats on water is its “ice shelf.”
Today, man-made climate change is warming the air and water around Antarctica, causing
each side of the ice sheet to melt - but at very different speeds.
The Eastern ice sheet lies mostly on high ground, above sea level, which keeps it relatively
safe from warm ocean water.
That means it’s melting slowly and remains relatively stable.
But West Antarctica is different; most of it lies below sea level.
That means as it thins, water can undermine it. Possibly kick-starting a more rapid collapse.",https://youtu.be/XRUxTFWWWdY,"Chart 1 - Area Chart
| Distance (km) | Land Elevation (km) | Ice Top Elevation (km) | Ice Thickness (km) |
|---------------|---------------------|------------------------|--------------------|
| 0             | -3.8                | -0.5                   | 3.3                |
| 250           | -2.0                | 0.5                    | 2.5                |
| 500           | -0.5                | 1.0                    | 1.5                |
| 750           | -0.3                | 1.1                    | 1.4                |
| 1000          | -0.2                | 1.2                    | 1.4                |
| 1250          | 0.2                 | 1.5                    | 1.3                |
| 1500          | 0.5                 | 1.8                    | 1.3                |
| 1750          | 0.3                 | 2.0                    | 1.7                |
| 2000          | 0.1                 | 2.2                    | 2.1                |
| 2250          | 0.4                 | 2.5                    | 2.1                |
| 2500          | 0.8                 | 2.8                    | 2.0                |
| 2750          | 0.6                 | 3.0                    | 2.4                |
| 3000          | 0.3                 | 3.1                    | 2.8                |
| 3250          | 0.2                 | 2.9                    | 2.7                |
| 3500          | 0.2                 | 2.8                    | 2.6                |
| 3750          | 0.1                 | 2.1                    | 2.0                |
| 4000          | -0.1                | 1.5                    | 1.6                |
| 4250          | -0.8                | 0.8                    | 1.6                |
| 4500          | -1.5                | 0.0                    | 1.5                |
| 4750          | -2.8                | -0.2                   | 2.6                |
| 5000          | -4.0                | -0.5                   | 3.5                |
-------------------","Chart 1 - Type: Area Chart,
Description: A profile view of the Antarctic Ice Sheet showing the elevation of the underlying land and the total elevation including the ice layer across a distance of 5000 km. The Y-axis represents elevation relative to sea level, with positive values above sea level and negative values below.
Mark: Filled area,
Background: Solid, #2C2C2C,
Gridlines: No full gridlines; axis ticks are thin lines, white/light gray.,
Data Colors: Land: #A68B6E, Ice: #DDDDDD (with black outline #000000),
-------------------"
Ridwan,62,Vox,https://www.youtube.com/watch?v=WjVVwMGJ9S8,,,3,To illistrate how many of the total school using SAT gave importance to it,05:16,05:26,Bar Chart,,Emphasis- color fill,"In 1993, 46 percent of schools gave ""considerable importance"" to SAT scores.
By 2005, it was 59 percent.",https://youtu.be/WjVVwMGJ9S8,"Chart 1 - Stacked Bar Chart
| Year | Considerable importance (%) | Not considerable importance (%) |
|---|---|---|
| 1993 | 46 | 54 |
| 2005 | 59 | 41 |
-------------------","Chart 1 - Type: Stacked Bar Chart,
Description: This chart displays the percentage of colleges that gave ""considerable importance"" to SAT scores in the years 1993 and 2005. Each bar is stacked to show the proportion of colleges giving considerable importance versus those that did not, summing to 100% for each year.
Mark: Rectangle,
Background: #fcf9f2,
Gridlines: Dashed light grey lines,
Data Colors: [#46a1d8, #e0e0e0],
-------------------"
Ridwan,63,Vox,https://www.youtube.com/watch?v=VCdTyl141bA&t=305s,,,1,"to show the movement of african americans from the cities to the suburbs in america, and how it coould be connect to education",04:40,05:50,"3, Bar Chart, Bar Chart, Bar Chart",,"Suspense- Gradual Reveal, Emphasis- Fill, Emphasis- draw a circle, transition","there's also been a noticeable movement of blacks to the suburbs and it's fairly pervasive
it's not just in two or three cities but it's and and a lot of cities across the country.
Northern cities, Southern cities, Western cities.
Starting in 1970 African Americans started to make this move.
Especially in the last 20 or 25 years, really large numbers of blacks moved to the South.
I attribute some of it to the younger generation several generations since the civil rights
laws were enacted in the 1960s who now do have an opportunity to get advanced education's.
At least some college.",https://youtu.be/VCdTyl141bA,"Chart 1 - Horizontal Bar Chart
| Education Level      | Net Migration Rate (%) |
| :------------------- | :--------------------- |
| Less than high school | 3                      |
| High school graduate | 9                      |
| Some college         | 27                     |
| College graduate     | 20                     |
-------------------
Chart 2 - Horizontal Bar Chart
| City            | Loss of Residents |
| :-------------- | :---------------- |
| Detroit         | -185393           |
| Chicago         | -181453           |
| New Orleans     | -118526           |
| New York        | -100859           |
| Los Angeles     | -54606            |
| Washington, DC  | -27800            |
| Oakland         | -24100            |
| Cleveland       | -22200            |
| Atlanta         | -20400            |
-------------------
Chart 3 - Horizontal Bar Chart
| Age Group | Net Migration Rate (%) |
| :-------- | :--------------------- |
| 5-17      | 17                     |
| 18-29     | 24                     |
| 30-44     | 17                     |
| 45-59     | 9                      |
| 60+       | 13                     |
-------------------","Chart 1 - Type: Horizontal Bar Chart, 
Description: Horizontal bar chart showing net black migration rates per 1,000 Southern black residents by education level, with an annotation highlighting 'Some college'.
Mark: Rectangle, 
Background: Solid Black, 
Gridlines: None, 
Data Colors: White, Yellow, 
-------------------
Chart 2 - Type: Horizontal Bar Chart, 
Description: Horizontal bar chart showing cities with the largest loss of black residents between 2000 and 2010.
Mark: Rectangle, 
Background: Solid Black, 
Gridlines: None, 
Data Colors: White, 
-------------------
Chart 3 - Type: Horizontal Bar Chart, 
Description: Horizontal bar chart showing net black migration rates per 1,000 Southern black residents by age group, with an annotation highlighting '18-29'.
Mark: Rectangle, 
Background: Solid Black, 
Gridlines: None, 
Data Colors: White, Yellow, 
-------------------"
Ridwan,64,Vox,https://youtu.be/pTwPHuE_HrU?si=jgMZ5zaFI_Y3p7fI,,,1,To illustrate what portion of income is paid as tax due to difference in tax brackets,02:22,02:43,Bar Chart,,"Suspense- gradual reveal, Comparison- rescaling","So if you have 40 million dollars, you'd pay nothing.
If you have 60 million dollars, you'd pay nothing on your first 50 million, but 2% on
the 10 million after that, or $200 thousand.
And if you have 2 billion dollars, you'd pay about $49 million.",https://youtu.be/pTwPHuE_HrU,"Chart 1 - Annotated Vertical Scale Chart
| Financial Value | Percentage |
|-----------------|------------|
| $0              | 0          |
| $50 million     | 2          |
| $1 billion      | 3          |
-------------------","Chart 1 - Type: Annotated Vertical Scale Chart,
Description: A vertical scale representing financial values from $0 to $2 billion. Specific financial thresholds ($0, $50 million, $1 billion) are highlighted with thin light grey segments and annotated with corresponding percentage values (0%, 2%, 3%). The chart visually references a total capacity or value of $2 billion at its peak.
Mark: Vertical rectangle bar with horizontal point markers,
Background: Dark blue with subtle texture,
Gridlines: Dotted white horizontal lines at threshold values,
Data Colors: Light grey (main bar), Lighter grey (highlighted segments), White (text labels).
-------------------"
Ridwan,65,Vox,https://www.youtube.com/watch?v=2z7o3sRxA5g&t=60s,,,1,To show that adding more lanes did not solve the traffic problem in Katy freeway,00:54,01:01,Bar Chart,,Suspense- gradual reveal,"more lanes equals less congestion. But traffic didn’t get any better. In fact,
it got worse, in both the morning and afternoon commutes.",https://youtu.be/2z7o3sRxA5g,"Chart 1 - Grouped Horizontal Bar Chart
| Year | Period | Travel Time (Minutes) |
|------|--------|-----------------------|
| 2011 | AM     | 47                    |
| 2011 | PM     | 41                    |
| 2012 | AM     | 52                    |
| 2012 | PM     | 48                    |
| 2013 | AM     | 58                    |
| 2013 | PM     | 60                    |
| 2014 | AM     | 59                    |
| 2014 | PM     | 60                    |
-------------------","Chart 1 - Type: Grouped Horizontal Bar Chart, 
Description: This chart illustrates the Katy Freeway travel times in minutes for both AM and PM periods across the years 2011 to 2014, based on data from Houston Transtar, 2015. Each year shows two horizontal bars, one for AM and one for PM travel times, indicating a general increase in commute durations over the observed period.,
Mark: Horizontal Bars, 
Background: Dark gray with a subtle dotted texture, 
Gridlines: Vertical, light gray lines aligned with X-axis labels, 
Data Colors: Red, Light Blue, 
-------------------"
Ridwan,66,Vox,https://www.youtube.com/watch?v=kXCGbAv8YPw&t=34s,,,1,"explaining progressive tax rate, where poor are taxed less and the rich are taxed more",00:30,00:43,Bar Chart,,"Emphasis- draw a circle, Emphasis- draw an arrow","the data shows that poor people pay a very small part of their
income to the government.
And rich people pay more.
This concept, of taxing the poor at a lower rate — and taxing the rich more… this
is called: progressive taxation.",https://youtu.be/kXCGbAv8YPw,"Chart 1 - Combination Chart (Bar and Line)
| Decile | Income Tax Rate (%) | Progressive Taxation Trend (%) |
|--------|---------------------|--------------------------------|
| 1      | 0.5                 | 2.0                            |
| 2      | 1.0                 | 2.5                            |
| 3      | 2.5                 | 3.5                            |
| 4      | 3.5                 | 5.0                            |
| 5      | 5.5                 | 7.0                            |
| 6      | 7.0                 | 9.0                            |
| 7      | 9.0                 | 11.0                           |
| 8      | 11.0                | 14.0                           |
| 9      | 14.0                | 17.0                           |
| 10     | 19.0                | 21.5                           |
-------------------","Chart 1 - Type: Combination Chart (Bar and Line), 
Description: This chart, titled ""Income taxes,"" displays the estimated income tax rates across 10 different income deciles, ranging from the poorest 10% to the richest 10%, represented by pixelated figures. An overlaid curved line with an arrow points upwards, labeled ""PROGRESSIVE TAXATION,"" indicating the general trend of increasing taxation with higher income. The Y-axis represents the percentage of income tax, ranging from 0% to 30%. The ""Decile"" column in the data corresponds to the income groups, with Decile 1 being the ""Poorest 10%"" and Decile 10 being the ""Richest 10%"".,
Mark: Bars (rectangular columns) for income tax rates; Line (curved with an arrow) for progressive taxation trend., 
Background: Light grey (#EBEBEB) main background, white (#FFFFFF) plot area background., 
Gridlines: Horizontal, dashed, light grey., 
Data Colors: Bars: Dark purple (#6A498D approx); Line: Pinkish-red (#E53A71 approx), 
-------------------"
Ridwan,67,Vox,https://www.youtube.com/watch?v=ENw2y0ek1Jg&t=353s,,,1,To compare how many americans with gun in household and how many americans in general believe in licensing system for guns,05:43,05:53,Pie Chart,,Suspense- gradual reveal,"Among voters who live in a house with a gun, more than
two-thirds think that it’s a good idea. Ask all Americans and more than three-quarters
support it.",https://youtu.be/ENw2y0ek1Jg,"Chart 1 - Donut Chart
| Category                                                        | Value (%) |
| :-------------------------------------------------------------- | --------: |
| Live in a house with a gun (supports licensing)                 | 14        |
| All American voters (supports licensing, excluding gun homes)   | 63        |
| All American voters (do not support licensing)                  | 23        |
-------------------","Chart 1 - Type: Donut Chart, 
Description: A donut chart illustrating the breakdown of American voters' support for a licensing system. The 77% in the center represents the total percentage of support. The chart segments categorize supporters based on whether they live in a house with a gun (light teal segment) and all other American voters who support (dark teal segment), along with a segment for those who do not support the system (light grey segment). Data is from a Quinnipiac University Poll, May 2019.,
Mark: Arc, 
Background: White, 
Gridlines: None, 
Data Colors: ['#68a099', '#3f6e72', '#dde2e3'], 
-------------------"
Ridwan,68,Vox,https://www.youtube.com/watch?v=ylLTMYt24lA&t=173s,,,2,"shows how wages have stayed the same in USA even though productivuty has increase, which is in constrast to the peroid upto about 1970 where both rised together",02:46,03:02,Line Chart,,"Suspense- gradual reveal, Emphsis- draw an arrow. Emphasis- unveil","The productivity of American workers nearly doubled in the thirty years after World War II.
And so did hourly wages.
This helped build the American middle class.
But things didn’t stay that way.
Productivity kept rising, but wages flat lined.",https://youtu.be/ylLTMYt24lA,"Chart 1 - Line Chart
| Year | Productivity (%) | Wages (%) |
|------|------------------|-----------|
| 1947 | 0                | 0         |
| 1950 | 10               | 9         |
| 1955 | 28               | 27        |
| 1960 | 50               | 48        |
| 1965 | 70               | 67        |
| 1970 | 85               | 80        |
| 1975 | 98               | 90        |
| 1980 | 105              | 98        |
| 1985 | 115              | 95        |
| 1990 | 125              | 92        |
| 1995 | 145              | 95        |
| 2000 | 180              | 100       |
| 2005 | 210              | 105       |
| 2010 | 225              | 110       |
| 2015 | 240              | 115       |
| 2017 | 245              | 118       |
-------------------","Chart 1 - Type: Line Chart,
Description: This line chart illustrates the growth of productivity and wages over time, from approximately 1947 to 2017. It shows that productivity growth has significantly outpaced wage growth, particularly after the late 1970s. Productivity continues a steep upward trend, reaching around 245% by 2017, while wages show a much slower increase, flattening between the late 1970s and mid-1990s, then slowly rising to about 118% by 2017. The chart highlights a widening gap between the two metrics. The title is ""Productivity and wage growth"" and the source is ""ECONOMIC POLICY INSTITUTE"".
Mark: Line,
Background: Solid dark charcoal grey,
Gridlines: White, solid (axes only),
Data Colors: Productivity: Medium Blue, Wages: Light Blue
-------------------"
Ridwan,70,Our Changing Climate,https://www.youtube.com/watch?v=tDvjQp1BaWA,,,1,comparing the carbon footprint of online shopper and traditional shopper,00:55,01:21,Bar Chart,,"Emphasis- draw a circle, Compare- highlight","2013 MIT study shows
shoppers can be divided into a number of
different categories that span from a
traditional retail shopper to what the
study calls a cyber known shopper who
exclusively shops online the study shows
that online shopping with slower
shipping options has a smaller footprint
than driving to a retail store to search
purchase and return a product the",https://youtu.be/tDvjQp1BaWA,"Chart 1 - Horizontal Bar Chart
| Shopper Type              | Carbon Footprint (kgCO2e) |
| :------------------------ | :------------------------ |
| traditional shopper       | 2.88                      |
| modern shopper (impatient)| 3.05                      |
| cybernaut                 | 1.05                      |
| cybernaut (impatient)     | 2.25                      |
-------------------","Chart 1 - Type: Horizontal Bar Chart, 
Description: This chart displays the carbon footprint, measured in kgCO2e, for different categories of shoppers. The categories include 'traditional shopper', 'modern shopper (impatient)', 'cybernaut', and 'cybernaut (impatient)'. The bars represent the carbon footprint associated with each shopper type.,
Mark: Rectangle bars, 
Background: Solid dark grey/black, 
Gridlines: Solid light grey (vertical lines at 0, 1.5, and 3 kgCO2e, and a thin vertical line as the y-axis), 
Data Colors: ['Dark Brownish-Grey', 'Light Beige', 'Lighter Brownish-Grey'], 
-------------------"
Ridwan,71,CBC News,https://www.youtube.com/watch?v=PqNF7hF5u3E,,,1,to illustrate the population growth of Canada at different time periods,01:20,01:40,Line Chart,,"Suspense- gradual reveal, compare- highlight, emphasis- annotation","on average over the
past few decades Canada's population has
grown by somewhere between 200 and
600,000 people per year that dropped off
during the the pandemic when borders
were closed but look what happened since
then Canada's population has grown by
more than a million people over the past
two years",https://youtu.be/PqNF7hF5u3E,"Chart 1 - Line Chart
| Year | Population growth |
|------|-------------------|
| 1980 | 320000            |
| 1981 | 300000            |
| 1982 | 305000            |
| 1983 | 310000            |
| 1984 | 330000            |
| 1985 | 370000            |
| 1986 | 400000            |
| 1987 | 440000            |
| 1988 | 480000            |
| 1989 | 510000            |
| 1990 | 490000            |
| 1991 | 430000            |
| 1992 | 390000            |
| 1993 | 360000            |
| 1994 | 330000            |
| 1995 | 300000            |
| 1996 | 280000            |
| 1997 | 250000            |
| 1998 | 240000            |
| 1999 | 280000            |
| 2000 | 320000            |
| 2001 | 340000            |
| 2002 | 330000            |
| 2003 | 310000            |
| 2004 | 290000            |
| 2005 | 310000            |
| 2006 | 330000            |
| 2007 | 360000            |
| 2008 | 380000            |
| 2009 | 390000            |
| 2010 | 370000            |
| 2011 | 350000            |
| 2012 | 340000            |
| 2013 | 350000            |
| 2014 | 370000            |
| 2015 | 390000            |
| 2016 | 420000            |
| 2017 | 450000            |
| 2018 | 500000            |
| 2019 | 550000            |
| 2020 | 150000            |
| 2021 | 700000            |
| 2022 | 1200000           |
| 2023 | 1250000           |
-------------------","Chart 1 - Type: Line Chart,
Description: This chart displays the annual growth in population from 1980 to 2023. It shows fluctuations over the decades, with a notable sharp decrease around 2020, marked as the ""Pandemic"" period, followed by a rapid and significant increase in population growth in the subsequent years. The source is Statistics Canada.
Mark: Line,
Background: Dark Blue (textured),
Gridlines: White, solid (horizontal lines are more prominent than vertical minor ticks),
Data Colors: Yellow,
-------------------"
Ridwan,72,CBC News,https://www.youtube.com/watch?v=VOvSmNyOZ5U,,,1,how much did the s&p 500 growth in the last 18 years for a 1000 dollar investment,02:18,02:37,Line Chart,,"Suspense- gradual reveal, emphasis- annotation, compare- highlight","Track America's top 500
stocks over the last 18 years. You're up
over 500% from where you started if you
just let it sit and grow, which turns
that initial $1,000 investment into
almost $6,400 by the end of year 18.
That's an annualized rate of return of
about 10 12%",https://youtu.be/VOvSmNyOZ5U,"Chart 1 - Line Chart
| Year | Value ($) |
|---|---|
| 2007 | 1000.00 |
| 2010 | 1050.00 |
| 2013 | 1650.00 |
| 2015 | 2400.00 |
| 2018 | 3400.00 |
| 2021 | 4250.00 |
| 2025 | 6390.16 |
-------------------","Chart 1 - Type: Line Chart,
Description: This chart illustrates the growth of an initial investment of $1000 over time, based on the performance of the S&P 500, from 2007 to 2025. It also highlights a total return of +539% (including dividends) and an annualized return rate of 10.5%. The line shows the fluctuating and generally upward trend of the investment's value.
Mark: Line with circular markers at start and end points,
Background: Light grey textured background with a solid red-orange rectangular plot area,
Gridlines: Dashed, light grey horizontal lines,
Data Colors: Line: Teal (approx. #33CEDC), Markers: Dark blue (approx. #1D738E),
-------------------"
Mahir,73,The Wall Street Journal,https://www.youtube.com/watch?v=3yC8WDjCIAU,Pie Chart,,3,"to illustrate the growth of Buy Now, Pay Later transaction volume in the US, showing a 20-fold multiplication since 2019.",03:00,03:05,Bar Chart,,"Suspense- Gradual Reveal, Emphasis - Draw an arrow","Buy now, pay later transaction volume
has multiplied 20 times since 2019.",https://youtu.be/3yC8WDjCIAU,"Chart 1 - Bar Chart
| Year | Transaction Volume (Billion USD) |
|:-----|:---------------------------------|
| 2019 | 5                                |
| 2020 | 10                               |
| 2021 | 35                               |
| 2022 | 55                               |
| 2023 | 72                               |
| 2024 | 93                               |
| 2025 | 110                              |
-------------------","Chart 1 - Type: Bar Chart,
Description: This bar chart displays the annual Buy Now Pay Later (BNPL) transaction volume in billions of U.S. dollars from 2019 to 2025. The data for 2025 is a projected value. An upward trend arrow visually emphasizes the growth over these years. The y-axis ranges from 0 to $140 billion, with major gridlines every $20 billion.
Mark: Rectangular bars,
Background: Light greenish-grey textured background,
Gridlines: Solid, dark grey horizontal lines,
Data Colors: Dark green for 2019-2024 bars (with a subtle textured pattern), and a lighter teal-green with a wavy stripe pattern for the 2025 bar.
-------------------"
Mahir,74,The Wall Street Journal,https://www.youtube.com/watch?v=3yC8WDjCIAU,,,4,to highlight the shift towards smaller ticket sizes and even consumable purchases like groceries.,04:06,04:14,Bar Chart,,Suspense- Gradual Reveal,"A LendingTree survey found
that a quarter of BNPL customers
have used them to buy groceries,
up from 14% in 2024.",https://youtu.be/3yC8WDjCIAU,"Chart 1 - Bar Chart
| Year | Percentage |
|:-----|:-----------|
| 2023 | 20         |
| 2024 | 14         |
| 2025 | 25         |
-------------------","Chart 1 - Type: Bar Chart,
Description: This bar chart illustrates the percentage of Buy Now, Pay Later (BNPL) consumers who purchase groceries across three years: 2023, 2024, and 2025. The data shows that 20% of BNPL consumers bought groceries in 2023, which decreased to 14% in 2024, but is projected to increase to 25% in 2025. The title is ""% OF BNPL CONSUMERS BUYING GROCERIES"". The source is LENDINGTREE, APRIL 2025.
Mark: Vertical Bar,
Background: Light mottled green with a grainy texture,
Gridlines: Solid dark gray horizontal lines,
Data Colors: Dark teal with a subtle wavy line pattern,
-------------------"
Mahir,75,The Wall Street Journal,https://www.youtube.com/watch?v=3yC8WDjCIAU,,,5,"to highlight a growing risk for consumers and potentially for BNPL providers related to repayment struggles, even as Affirm reports a decrease in customer defaults",05:42,05:54,"2, Bar Chart, Bar Chart",,"Suspense- Gradual Reveal, Emphasis - Draw an arrow","But broadly, LendingTree found that 41% of BNPL users
paid late in the past year,
up from 34% a year before.
Affirm has reported a decrease in customer defaults.",https://youtu.be/3yC8WDjCIAU,"Chart 1 - Bar Chart
| Year | Percentage |
| :--- | :--------- |
| 2022 | 39.5%      |
| '23  | 38.0%      |
| '24  | 34.0%      |
| '25  | 41.0%      |
-------------------
Chart 2 - Bar Chart
| Quarter | Delinquency Rate |
| :------ | :--------------- |
| Q1'25   | 2.65%            |
| Q2      | 2.40%            |
| Q3      | 2.25%            |
-------------------","Chart 1 - Type: Bar Chart,
Description: Bar chart illustrating the percentage of Buy Now, Pay Later (BNPL) consumers who paid late annually from 2022 to 2025.
Mark: Rectangle bar,
Background: Textured light beige,
Gridlines: Thin dark grey horizontal lines,
Data Colors: Dark green with a subtle wave pattern,
-------------------
Chart 2 - Type: Bar Chart,
Description: Bar chart displaying Affirm's monthly loan delinquency rate for Q1, Q2, and Q3 of 2025. An arrow visually highlights the decrease in delinquency rate from Q2 to Q3.
Mark: Rectangle bar,
Background: Textured light beige,
Gridlines: Thin dark grey horizontal lines,
Data Colors: Dark green with a subtle wave pattern,
-------------------"
Mahir,76,The Wall Street Journal,https://www.youtube.com/watch?v=CkxeehM9a9g,,,1,to illustrate the mixed signals in the US economy,00:06,00:19,"2, Line Chart, Bar Chart",,,"Key economic data is painting a murky picture.
Inflation has so far defied the worst
of economists' expectations,
and the US consumer remains strong,
but pockets of weakness in the labor market
and slower growth are raising red flags.",https://youtu.be/CkxeehM9a9g,"Chart 1 - Line Chart
| Year | Overall | Core |
| :--- | :------ | :--- |
| 2015 | 0.5     | 1.5  |
| 2016 | 1.2     | 2.0  |
| 2017 | 2.2     | 1.8  |
| 2018 | 2.5     | 2.2  |
| 2019 | 1.8     | 2.0  |
| 2020 | 0.8     | 1.5  |
| 2021 | 5.0     | 3.0  |
| 2022 | 8.0     | 6.0  |
| 2023 | 4.0     | 4.5  |
| 2024 | 2.5     | 3.0  |
| 2025 | 2.0     | 2.5  |
-------------------
Chart 2 - Bar Chart
| Year-Month | Change (Millions) |
| :--------- | :---------------- |
| 2022-01    | 0.2               |
| 2022-02    | 0.4               |
| 2022-03    | 0.3               |
| 2022-04    | 0.4               |
| 2022-05    | 0.25              |
| 2022-06    | 0.65              |
| 2022-07    | 0.3               |
| 2022-08    | 0.2               |
| 2022-09    | 0.45              |
| 2022-10    | 0.3               |
| 2022-11    | 0.25              |
| 2022-12    | 0.3               |
| 2023-01    | 0.5               |
| 2023-02    | 0.3               |
| 2023-03    | 0.2               |
| 2023-04    | 0.2               |
| 2023-05    | 0.15              |
| 2023-06    | 0.2               |
| 2023-07    | 0.15              |
| 2023-08    | 0.1               |
| 2023-09    | 0.2               |
| 2023-10    | 0.1               |
| 2023-11    | 0.15              |
| 2023-12    | 0.1               |
| 2024-01    | 0.05              |
| 2024-02    | 0.08              |
| 2024-03    | 0.12              |
| 2024-04    | 0.15              |
| 2024-05    | 0.2               |
| 2024-06    | 0.1               |
| 2024-07    | 0.1               |
| 2024-08    | 0.05              |
| 2024-09    | 0.08              |
| 2024-10    | 0.08              |
| 2024-11    | 0.05              |
| 2024-12    | 0.02              |
| 2025-01    | 0.25              |
| 2025-02    | 0.15              |
| 2025-03    | 0.1               |
| 2025-04    | 0.05              |
| 2025-05    | 0.08              |
| 2025-06    | 0.05              |
| 2025-07    | 0.02              |
| 2025-08    | 0.05              |
| 2025-09    | 0.02              |
| 2025-10    | 0.01              |
| 2025-11    | 0.01              |
| 2025-12    | 0.05              |","Chart 1 - Type: Line Chart,
Description: A line chart displaying the year-over-year change in the Consumer-Price Index for ""Overall"" (yellow line) and ""Core"" (magenta/pink line) categories from 2015 to 2025. A ""RECESSION"" period is indicated around 2020-2021.
Mark: Line,
Background: Dark grey with a faint background image of people,
Gridlines: Solid, light grey horizontal lines,
Data Colors: Yellow, Magenta,
-------------------
Chart 2 - Type: Bar Chart,
Description: A bar chart illustrating the month-over-month change in Nonfarm Payrolls from January 2022 to December 2025. The majority of the bars are grey, with the last data point highlighted in magenta/pink.
Mark: Bar,
Background: Dark grey with a faint background image of people,
Gridlines: Solid, light grey horizontal lines,
Data Colors: Grey, Magenta,"
